[WAR][HORA: 01:01:11][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '04', 'I')]
[WAR][HORA: 01:01:11][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '05', 'I')]
[WAR][HORA: 01:01:11][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '06', 'I')]
[WAR][HORA: 01:01:11][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '07', 'I')]
[WAR][HORA: 01:01:11][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '08', 'I')]
[WAR][HORA: 01:01:11][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '09', 'I')]
[WAR][HORA: 01:01:11][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '10', 'I')]
[WAR][HORA: 01:01:11][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '01', 'J')]
[WAR][HORA: 01:01:12][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '02', 'J')]
[WAR][HORA: 01:01:12][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '03', 'J')]
[WAR][HORA: 01:01:12][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '04', 'J')]
[WAR][HORA: 01:01:12][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '05', 'J')]
[WAR][HORA: 01:01:12][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '06', 'J')]
[WAR][HORA: 01:01:12][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '07', 'J')]
[WAR][HORA: 01:01:12][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '08', 'J')]
[WAR][HORA: 01:01:12][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '09', 'J')]
[WAR][HORA: 01:01:12][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, '10', 'J')]
[WAR][HORA: 01:01:12][USUARIO: ][IP: ::1][SCRIPT: TCarga_aula.php][ 1 --> INSERT INTO aula VALUES (NULL, 'Salon De Usos Multiples', 'J')]
[WAR][HORA: 01:04:19][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 1 --> INSERT INTO carrera VALUES (001, 'LEA', 'Licenciatura En Administracion')]
[INF][HORA: 01:04:19][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (002, 'TUEGDLO', 'Tecnicatura Universitaria En Gestion De Las Organizaciones')]
[INF][HORA: 01:04:19][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (003, 'PEEYGDO', 'Profesorado En Economia Y Gestion De Organizaciones')]
[WAR][HORA: 01:04:19][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 1 --> INSERT INTO carrera VALUES (004, 'PEM', 'Profesorado En Matemática')]
[INF][HORA: 01:04:19][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (005, 'LECS', 'Licenciatura En Comunicacion Social')]
[INF][HORA: 01:04:19][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (006, 'LECA', 'Licenciatura En Comunicacion Audiovisual')]
[INF][HORA: 01:04:19][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (007, 'PPLEI', 'Profesorado Para La Educacion Inicial')]
[INF][HORA: 01:04:20][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (008, 'PECDLE', 'Profesorado En Ciencias De La Educacion')]
[INF][HORA: 01:04:20][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (009, 'PPLEP', 'Profesorado Para La Educacion Primaria')]
[INF][HORA: 01:04:20][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (010, 'LEE', 'Licenciatura En Enfermeria')]
[INF][HORA: 01:04:20][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (011, 'TUEAT', 'Tecnicatura Universitaria En Acompañamiento Terapeutico')]
[INF][HORA: 01:04:20][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (012, 'EU', 'Enfermeria Universitaria')]
[INF][HORA: 01:04:20][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (013, 'LEGCDL', 'Licenciatura En Geografia. Ciclo De Licenciatura')]
[INF][HORA: 01:04:20][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (014, 'LEG', 'Licenciatura En Geografia')]
[INF][HORA: 01:04:20][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (015, 'PEG', 'Profesorado En Geografia')]
[INF][HORA: 01:04:20][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (016, 'PEH', 'Profesorado En Historia')]
[INF][HORA: 01:04:20][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (017, 'TUESEHEET', 'Tecnicatura Universitaria En Seguridad E Higiene En El Trabajo')]
[INF][HORA: 01:04:20][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (018, 'TUEP', 'Tecnicatura Universitaria En Petróleo')]
[INF][HORA: 01:04:20][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (019, 'LEHYSEET', 'Licenciatura En Higiene Y Seguridad En El Trabajo')]
[INF][HORA: 01:04:20][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (020, 'IE', 'Ingeniria Electromecánica')]
[INF][HORA: 01:04:21][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (021, 'TUEE', 'Tecnicatura Universitaria En Energia')]
[INF][HORA: 01:04:21][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (022, 'TUEM', 'Tecnicatura Universitaria En Minas')]
[INF][HORA: 01:04:21][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (023, 'IQ', 'Ingeniería Química')]
[INF][HORA: 01:04:21][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (024, 'LEL', 'Licenciatura En Letras')]
[INF][HORA: 01:04:21][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (025, 'PEL', 'Profesorado En Letras')]
[INF][HORA: 01:04:21][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (026, 'LEP', 'Licenciatura En Psicopedagogía')]
[INF][HORA: 01:04:21][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (027, 'IERNR', 'Ingeniería En Recursos Naturales Renovables')]
[INF][HORA: 01:04:21][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (028, 'TUERNRPA', 'Tecnicatura Universitaria En Recursos Naturales Renovables. Producción Agropecuaria')]
[INF][HORA: 01:04:21][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (029, 'TUERNRPF', 'Tecnicatura Universitaria En Recursos Naturales Renovables. Producción Frutihortícola')]
[INF][HORA: 01:04:21][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (030, 'TUERNRPA', 'Tecnicatura Universitaria En Recursos Naturales Renovables. Producción Acuícola')]
[INF][HORA: 01:04:21][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (031, 'ADS', 'Analista De Sistemas')]
[INF][HORA: 01:04:21][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (032, 'TUEDW', 'Tecnicatura Universitaria En Desarrollo Web')]
[INF][HORA: 01:04:21][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (033, 'TUERDC', 'Tecnicatura Universitaria En Redes De Computadoras')]
[INF][HORA: 01:04:21][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (034, 'IES', 'Ingeniería En Sistemas')]
[INF][HORA: 01:04:22][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (035, 'LES', 'Licenciatura En Sistemas')]
[INF][HORA: 01:04:22][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (036, 'LETS', 'Licenciatura En Trabajo Social')]
[INF][HORA: 01:04:22][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (037, 'TUET', 'Tecnicatura Universitaria En Turismo')]
[INF][HORA: 01:04:22][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (038, 'LET', 'Licenciatura En Turismo')]
[INF][HORA: 01:04:22][USUARIO: ][IP: ::1][SCRIPT: TCarga_carrera.php][ 2 --> INSERT INTO carrera VALUES (039, 'PEEE', 'Profesorado En Educacion Especial')]
